630.1653647789 1.0119932741 0.0018435081 TESS
630.1660459540 1.0146871682 0.0018449813 TESS
630.1667270290 1.0101425996 0.0018422698 TESS
630.1674081041 1.0118114909 0.0018430854 TESS
630.1680891795 1.0129632845 0.0018438749 TESS
630.1687702545 1.0105407363 0.0018426478 TESS
630.1694513296 1.0101655854 0.0018423803 TESS
630.1701325047 1.0163221799 0.0018465014 TESS
630.1708135800 1.0095305483 0.0018421849 TESS
630.1714946551 1.0094483863 0.0018419159 TESS
630.1721757302 1.0104405746 0.0018426416 TESS
630.1728569053 1.0092637524 0.0018418032 TESS
630.1735379804 1.0110156826 0.0018427585 TESS
630.1742189557 1.0127097238 0.0018440542 TESS
630.1749001308 1.0123658933 0.0018436970 TESS
630.1755812059 1.0108576653 0.0018424964 TESS
630.1762622810 1.0122814902 0.0018439543 TESS
630.1769433563 1.0112014910 0.0018428406 TESS
630.1776245314 1.0104212538 0.0018423578 TESS
630.1783056065 1.0153738485 0.0018457445 TESS
630.1789866815 1.0131768372 0.0018442174 TESS
630.1796677566 1.0115906892 0.0018432790 TESS
630.1803488320 1.0133299776 0.0018447725 TESS
630.1810299070 1.0114293343 0.0018431552 TESS
630.1817110821 1.0159917449 0.0018465309 TESS
630.1823921572 1.0151935693 0.0018459711 TESS
630.1830732325 1.0152802496 0.0018460524 TESS
630.1837544076 1.0162807856 0.0018465343 TESS
630.1844354827 1.0138064987 0.0018453654 TESS
630.1851164578 1.0116647908 0.0018431413 TESS
630.1857976329 1.0151003913 0.0018458963 TESS
630.1864787082 1.0136945473 0.0018447761 TESS
630.1871597833 1.0141932321 0.0018449759 TESS
630.1878409584 1.0164585751 0.0018466237 TESS
630.1885220335 1.0093230291 0.0018418390 TESS
630.1892032086 1.0100668290 0.0018424128 TESS
630.1898842839 1.0109792195 0.0018427861 TESS
630.1905652590 1.0154869183 0.0018455457 TESS
630.1912463340 1.0168960460 0.0018493103 TESS
630.1919275091 1.0129258658 0.0018447533 TESS
630.1926085842 1.0155381959 0.0018463129 TESS
630.1932897595 1.0137801749 0.0018454192 TESS
630.1939708346 1.0134341769 0.0018449863 TESS
630.1946519097 1.0099313664 0.0018427331 TESS
630.1953329848 1.0116126237 0.0018434975 TESS
630.1960141599 1.0103761998 0.0018429046 TESS
630.1966951352 1.0138958894 0.0018454006 TESS
630.1973762103 1.0115707096 0.0018435052 TESS
630.1980573854 1.0109085374 0.0018437483 TESS
630.1987384605 1.0102428060 0.0018427681 TESS
630.1994195356 1.0131892997 0.0018451778 TESS
630.2001007106 1.0083315037 0.0018416932 TESS
630.2007817860 1.0103674468 0.0018430682 TESS
630.2014628611 1.0089343952 0.0018419587 TESS
630.2021439361 1.0103798626 0.0018432683 TESS
630.2028250112 1.0083628124 0.0018419289 TESS
630.2035060863 1.0115837987 0.0018435617 TESS
630.2041871616 1.0147089778 0.0018457574 TESS
630.2048683367 1.0118741084 0.0018440156 TESS
630.2055494118 1.0080129485 0.0018414538 TESS
630.2062304869 1.0137613241 0.0018447625 TESS
630.2069116620 1.0112252441 0.0018428461 TESS
630.2075926371 1.0109721510 0.0018426414 TESS
630.2082737124 1.0153960682 0.0018454803 TESS
630.2089548875 1.0136504610 0.0018439964 TESS
630.2096359626 1.0094685666 0.0018412941 TESS
630.2103170377 1.0123206293 0.0018430074 TESS
630.2109982127 1.0090735336 0.0018409898 TESS
630.2116792878 1.0135844760 0.0018435915 TESS
630.2123603631 1.0117587523 0.0018421944 TESS
630.2130413382 1.0114971716 0.0018421173 TESS
630.2137225133 1.0103094391 0.0018412256 TESS
630.2144035884 1.0106116580 0.0018412171 TESS
630.2150847635 1.0135434894 0.0018426686 TESS
630.2157658386 1.0092264044 0.0018400992 TESS
630.2164469139 1.0132910020 0.0018428860 TESS
630.2171280890 1.0133329968 0.0018429306 TESS
630.2178091641 1.0144879209 0.0018438114 TESS
630.2184903392 1.0099448985 0.0018411715 TESS
630.2191713142 1.0135427502 0.0018429260 TESS
630.2198523893 1.0134671446 0.0018433517 TESS
630.2205334644 1.0166879484 0.0018453881 TESS
