time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
169.76583684579236,1.003405718117844,0.000129443570560557,575.4082274227593,48.78117296378923,2977,0
169.78627111925744,1.001879599670051,0.00012899950476247566,575.4080558019139,48.78059493523958,2978,0
169.80670519225532,1.0024185617940995,0.0001290981688697922,575.4081685655676,48.77982202804066,2979,128
169.82713946524746,1.001262547072073,0.00012904110023109975,575.4083160894171,48.78057599836841,2980,0
169.8475735380125,1.0034240846835007,0.00012924484165198526,575.408238320939,48.78053280597683,2981,128
169.86800781031343,1.0012897843082134,0.00012927978793480754,575.4080904933462,48.77769615655943,2982,0
169.88844188237272,1.0033438252013922,0.00012929041227235374,575.407949344643,48.77891778097572,2983,0
169.9088760542072,1.0006928759094964,0.0001289878301217479,575.4079719240924,48.77885695616701,2984,0
169.92931032580964,1.0016477144335287,0.00012913917975738659,575.407741373376,48.77845095224343,2985,128
169.94974439717043,1.0011268270909206,0.00012885092374698376,575.4075420933385,48.777462736580915,2986,128
169.97017856830644,1.0014106106067937,0.00012928980451379167,575.4076917227043,48.77762219035915,2987,128
169.99061283897754,1.0006937430367127,0.00012915954262721538,575.4076125774618,48.77612046660556,2988,8320
170.0110470096406,1.0009430453349455,0.0001293325509742942,575.4077842888084,48.77567491349651,2989,0
170.03148107984453,0.999615244999235,0.00012935702052402863,575.4073137317132,48.775643268775006,2990,0
170.05191524981637,1.00112764960617,0.00012923360079176595,575.4072232849255,48.776049187577485,2991,128
170.07234941954812,0.9991601887448125,0.00012922409029601458,575.4072062050574,48.773875777626394,2992,128
170.0927835890543,1.0005766051860758,0.00012913962044700807,575.4074937790139,48.774371875039,2993,0
170.11321775832766,0.9994605910146952,0.00012915001488023417,575.4071545167469,48.77351833080687,2994,128
170.13365202736168,1.0007716103204842,0.00012916473973580424,575.4072746353512,48.774680729856826,2995,128
170.15408619593654,0.9997845007617617,0.0001291027824878248,575.40692521317,48.7741557925397,2996,8192
170.19495443261258,1.0004113039453673,0.00012900904009979574,575.4065803376712,48.775174441727295,2998,0
170.21538860048895,1.0004741449655898,0.00012886171092100883,575.4067072871283,48.775558861010076,2999,8320
170.2358227681325,1.0002096968432,0.00012883473379882165,575.4068856554013,48.77515459101789,3000,128
170.25625693553593,1.0006816079373912,0.00012902108301289945,575.4065781996904,48.77347353294907,3001,128
170.27669120271457,1.0014775507355451,0.0001291657282610378,575.4067123256517,48.77280893015642,3002,128
170.29712526965886,1.0007594566152282,0.00012912620413868544,575.4069984690309,48.77151923382614,3003,0
170.31755943613098,1.0017601439954245,0.00012931822807199882,575.4065638909462,48.77430478570774,3004,0
170.33799360237754,1.000492252415963,0.00012904938323804254,575.406716330581,48.770032349372485,3005,0
170.3584277686241,1.0012251312749825,0.0001291554030844646,575.4063676861355,48.77306204354722,3006,0
170.37886193439772,0.9992466044781242,0.00012902435835187383,575.4066669115772,48.77300401585963,3007,0
170.3992960999458,1.0019265196297162,0.00012914134281447845,575.4066088290532,48.77239500987006,3008,0
170.41973036526178,0.9992977427641158,0.00012921933750542822,575.4062530449279,48.771443145847144,3009,0
170.44016443010332,1.0016056355060354,0.00012909998327142915,575.4061431102372,48.77135882279487,3010,128
170.4605985949529,0.999335587381879,0.00012912141997665938,575.4062779158911,48.77153711581812,3011,8320
170.48103265933605,0.9998213848450942,0.00012892429829681549,575.4063929744377,48.77054813261967,3012,8192
170.50146692371345,0.9974455402561767,0.00012879857505310126,575.4061223536225,48.76757403010783,3013,0
170.5219010876317,0.9995324840126073,0.00012888356108148462,575.4060999546252,48.76834930542515,3014,128
170.54233515131637,0.998102532574268,0.00012867762548433317,575.405809365106,48.77073748909649,3015,0
170.56276941476244,0.9997086243282163,0.00012893158119654387,575.406043611715,48.76891174526186,3016,128
170.5832035779822,0.9992880546654462,0.0001288201135144132,575.4060283083943,48.769829690419826,3017,0
170.6036377407363,0.9994911605431661,0.00012901345824456903,575.4060820982692,48.76982979203614,3018,8192
170.62407180348237,0.9992500769237552,0.00012897309228443004,575.4058683824152,48.76864814604687,3019,0
170.64450606577157,0.9996291210508669,0.00012900437598449582,575.406180195524,48.767061030501004,3020,0
170.66494022782717,0.9991332711743748,0.00012907003644766008,575.4058066814877,48.76816770224767,3021,128
170.6853742896419,0.9983928555445144,0.0001290405490961579,575.4057816377006,48.768437794032316,3022,0
170.70580855123262,0.9970429672281558,0.0001290441892133734,575.4058637355826,48.76773426124567,3023,128
170.72624271258974,0.9944159505891536,0.00012897044777700596,575.4059929013252,48.7647939419285,3024,0
170.74667677370599,0.992867590215222,0.00012869078372586157,575.4058668699191,48.76502098505184,3025,128
170.7671110345982,0.9902860156652167,0.0001286599295957096,575.4057832967816,48.76458260977629,3026,0
170.787545195024,0.9918701784036156,0.00012852315568575684,575.4055753747753,48.76472156145401,3027,128
170.80797925520892,0.9901533386323484,0.00012854365788502736,575.4056262893024,48.76467018557923,3028,0
170.82841341516905,0.992600359573977,0.00012866283138257854,575.4055103413393,48.76542255137209,3029,8192
170.84884767489712,0.993752644867962,0.00012872559340990883,575.4054797329579,48.76620694204546,3030,8320
170.86928173438355,0.9972713617149229,0.00012889482385163243,575.4052168874963,48.76652359665519,3031,0
170.8897158936452,0.9969313713814739,0.00012860865240778125,575.4052310244992,48.76560055006245,3032,128
170.91015015267476,0.9987253739570987,0.0001287590094319074,575.4051058005663,48.76603150820778,3033,128
170.93058431123063,0.9978711407545375,0.00012849172037412903,575.4052587822493,48.76677647597704,3034,128
170.9510183695602,0.999637020872472,0.00012894660138575246,575.4049838445247,48.76639897303226,3035,128
